====================
Dataset: ml1m
====================

P@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6596324503311258	0.6844370860927154	0.6577947019867549	0.6592781456953642	0.6424470198675496	0.6731490066225165	0.6652350993377484	0.6238079470198675	0.5501655629139073
1	0.6583145695364239	0.6837350993377482	0.656976821192053	0.6588940397350993	0.6354933774834437	0.6715960264900662	0.6631026490066224	0.6236788079470198	0.5320198675496689
2	0.6574933774834437	0.6834172185430465	0.6559238410596027	0.6583675496688741	0.6285662251655629	0.6704437086092714	0.6625264900662251	0.6226556291390728	0.5143013245033112
5	0.6453344370860927	0.6605827814569537	0.633225165562914	0.6330662251655629	0.5977119205298014	0.6187350993377484	0.6031026490066225	0.587728476821192	0.46608940397350984
10	0.6312549668874172	0.634023178807947	0.6098112582781458	0.6078543046357616	0.5604271523178809	0.5479039735099337	0.5244834437086092	0.5487913907284769	0.3954205298013245
20	0.6189039735099338	0.602973509933775	0.5862483443708608	0.580701986754967	0.525	0.4671754966887417	0.4314834437086093	0.49971523178807953	0.3104139072847682
50	0.6025662251655629	0.5643741721854304	0.5720662251655629	0.5687152317880795	0.4917980132450331	0.4137582781456953	0.3911523178807947	0.47865562913907284	0.19683112582781456
100	0.5799437086092716	0.5132185430463576	0.5499933774834437	0.5464271523178807	0.46501324503311264	0.3446556291390729	0.2863708609271523	0.42873509933774834	0.12847350993377485
200	0.5453973509933775	0.4481754966887418	0.5039834437086094	0.49785430463576164	0.42566556291390734	0.28449668874172185	0.2071688741721854	0.3566523178807947	0.07996688741721855
500	0.47779470198675494	0.3304735099337749	0.4330794701986755	0.4269801324503312	0.35302317880794704	0.17833443708609273	0.10940728476821193	0.29092052980132455	0.03765562913907285
1000	0.4183245033112583	0.25067218543046366	0.3675066225165563	0.3608509933774834	0.2810364238410596	0.12659602649006624	0.08339735099337749	0.23798675496688743	0.02098675496688742
2000	0.3592516556291391	0.18683774834437086	0.3195794701986755	0.3171887417218543	0.2145364238410596	0.08903973509933776	0.06168874172185431	0.19432781456953643	0.01037748344370861
3706	0.2925331125827815	0.12461258278145697	0.25535099337748346	0.2527980132450331	0.14577152317880798	0.04652317880794702	0.017751655629139072	0.14585761589403975	0.0057417218543046366

Recall@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.6189504004488866	0.6348144018031534	0.6178957749981145	0.6197668933971597	0.6053904728011309	0.6303003318021156	0.6262051375580585	0.6026498714450298	0.5666366225623749
1	0.6173742139595941	0.6342805983670013	0.6167404751838743	0.6191587778188454	0.5967177803305536	0.6288322885829448	0.6233937997809926	0.6024117762069345	0.5500541789649909
2	0.6160526092609192	0.6338028547916383	0.6151810895731642	0.6183667384564417	0.5875598123485517	0.6272532223217594	0.6225038131120324	0.6009164485029976	0.5323624613360052
5	0.602187176850415	0.6125817140437751	0.59394977887481	0.5954957054913774	0.5512698547776078	0.5857524858782235	0.5706771667694882	0.5680279526222167	0.47601870869024887
10	0.5817523270219993	0.5842968795686471	0.56517150313623	0.5666610969789756	0.49126609637616614	0.5103023643451194	0.4729275608224274	0.5204311396598859	0.37244871104166444
20	0.5637802038834472	0.5506355431876886	0.5369048221334879	0.5358061089295155	0.43370248020722874	0.4154862666620619	0.3481680516300851	0.46795389949435534	0.2576230753655726
50	0.5398979528428443	0.5061512937558351	0.5124126820550804	0.5121184787223428	0.38539934637036977	0.32473454116758177	0.291469391962415	0.4173407524776331	0.13918866651612732
100	0.5104620256950735	0.4489103170228056	0.4840420183930475	0.4833407721759985	0.3602656253268246	0.2542080581868641	0.20519836282111775	0.352166295326016	0.0804796847826206
200	0.4700822245935329	0.3727506494238688	0.4336953293215459	0.42898872421150075	0.3326831919227299	0.20225002278816	0.14944012102244741	0.2693172675521942	0.04647364646513704
500	0.3939653573976555	0.2622983740541124	0.35678853478449973	0.35100366780723186	0.2871336215424395	0.11998569952962926	0.07302819650601165	0.2046240881164393	0.019892852321880584
1000	0.3340592614279882	0.18937334294926905	0.2958203233207671	0.28788399412000504	0.2385736188699815	0.0787037420042204	0.05342918289943936	0.15724603757166483	0.011031373837526585
2000	0.2777494246195105	0.13747325983413147	0.24769271958141834	0.2441940068250493	0.18730003164114528	0.04985179401002364	0.039830384574155574	0.12069935776524399	0.004901363028304178
3706	0.21810924447019162	0.08769370377560934	0.1930634433874316	0.1883353201487087	0.13202564500377217	0.0226878163320884	0.010133608035020277	0.08578244950624694	0.0028244485630495595

nDCG@10
Target size	iMF (full)	iMF (test)	kNN (full)	kNN (test)	Normalized kNN (full)	Normalized kNN (test)	Average Rating	Popularity	Random
0	0.8393064133116905	0.8692369149758827	0.8377876110468703	0.8402956325697188	0.8145081658270256	0.8578191151659006	0.8470344114606438	0.7938347100298613	0.6936099575198419
1	0.8377252420339175	0.8682203867414671	0.8362555933716378	0.8396125785682175	0.8022442902981552	0.8553454602028531	0.8438231633471623	0.7936243688932303	0.6588398411468133
2	0.8363071448808064	0.8676332713335683	0.8348319649042987	0.8387454463948627	0.7916583745902576	0.8533811442462282	0.8431138921103658	0.7921232348519924	0.6292229339504344
