fold	target size	expected intersection ratio in top n
3	100	0.08152989563826882
3	200	0.045524984605884146
3	50	0.13902221003254242
3	2000	0.005566314928009117
3	3706	0.00280427991504091
3	1000	0.010879710895956685
3	500	0.02070051352070847
3	5	0.48321379819619953
2	100	0.08150062197193705
3	20	0.25949873052985195
1	100	0.0815071253014676
2	5	0.4799876166390185
5	100	0.08137515850121838
1	5	0.47974102810377145
1	2000	0.0055612872325626755
1	1000	0.010926546014540331
2	1	0.5584450193906894
2	200	0.04630641447199654
2	0	0.5745289867164669
4	100	0.08140571814356676
4	5	0.48095612450613806
1	200	0.045245434749360436
3	10	0.3748265154842445
2	20	0.2582056515188011
5	200	0.04604627158432662
4	1000	0.010852371646228279
4	2000	0.005568089335493168
1	20	0.25829252662946167
2	2	0.5412262174221752
2	50	0.13864845478326795
2	10	0.371639559139407
4	200	0.046723876150934
4	20	0.2586305376601862
4	50	0.13876654258312707
1	3706	0.002804512266441185
2	2000	0.00556449626057827
1	500	0.02074417182726011
1	1	0.557858082418442
3	1	0.5606490014667874
5	50	0.138658430721165
1	50	0.13877987385196924
4	2	0.5411552013536941
4	10	0.37311048836405153
4	1	0.5586359166586857
2	1000	0.010878369182169159
2	3706	0.0028044388235634035
2	500	0.020613548243983062
4	500	0.020568802521402602
4	3706	0.002804339765194753
4	0	0.5746066957475039
1	2	0.5403570338973407
3	0	0.5735480625803838
5	2000	0.005558267244782943
5	1000	0.010876916124771827
5	3706	0.002804370302171929
3	2	0.5434107139297949
5	500	0.020609512034757648
5	0	0.5749936327056513
1	0	0.5746580457490925
5	1	0.5588547401920297
5	5	0.4789787570444729
5	20	0.25788000780501036
5	10	0.3711335587406142
5	2	0.5411245306950729
1	10	0.3720482122022294
