fold	target size	expected intersection ratio in top n
2	100	0.09703455460544069
1	100	0.09697232588610903
4	100	0.09702562404800223
3	100	0.0970695958747368
5	100	0.09719583483893629
2	200	0.05308182001010401
5	200	0.05294634204207314
1	200	0.05299713030190388
4	200	0.053005015734894655
3	200	0.05306341903434758
1	50	0.16693727775193043
5	50	0.16644731376752414
2	50	0.1660792970995574
4	50	0.1651895572338098
3	50	0.16452214008484498
1	1000	0.010815887923080053
2	1000	0.010834293554876136
5	1000	0.010824396053824509
4	1000	0.010813966734487486
3	1000	0.0108233270066513
1	5	0.5822132723664506
1	1682	0.006279712931417242
2	1682	0.00628009315850567
5	1682	0.006278790304019539
4	1682	0.006277800933560472
3	1682	0.0062790007092377595
1	20	0.3087200896598235
2	500	0.022061738809827636
1	500	0.022048140635152074
5	500	0.022015959493207154
4	500	0.022030190683509997
3	500	0.02200545195170313
1	10	0.45260023231218516
2	5	0.5750181183341521
1	1	0.661401784662675
5	5	0.576968177791514
4	5	0.5755266781120272
3	5	0.5767608635414131
2	20	0.31073398034065497
5	20	0.30627964520263645
1	2	0.6433968824642543
4	20	0.30844060941346185
3	20	0.30787046407477886
5	10	0.44851609128820036
2	10	0.44817786817946953
1	0	0.6759216772206188
4	10	0.44705169667192274
3	10	0.44633443929144134
2	1	0.6558365612533805
5	1	0.6570728229413514
4	1	0.6527771571778697
3	1	0.6575479223457567
5	2	0.6399543857394063
2	2	0.6379730589800945
4	2	0.6354930659757083
3	2	0.6396838091060654
5	0	0.6732703676716035
2	0	0.6726114866276837
4	0	0.6687348604925657
3	0	0.6727502819937891
